id,tenant_id,created_by,create_date,updated_by,updated_date,details,end_date,start_date,identifier,status,subject,workspace_member_id
101,Evil Inc.,system,2023-07-04,system,2023-12-20,engineer enterprise platforms,2024-03-15,2023-05-07,something,TODO,Calgon Carbon Corporation,9
102,FreeCRM,system,2023-09-03,system,2024-04-05,expedite frictionless web-readiness,2024-02-27,2023-12-21,something,DONE,Bioverativ Inc.,6
103,FreeCRM,system,2023-12-12,system,2023-09-07,engineer wireless relationships,2024-02-26,2024-05-02,something,IN_PROGRESS,"Spok Holdings, Inc.",5
104,Evil Inc.,system,2023-11-17,system,2024-03-11,innovate real-time action-items,2024-04-20,2023-11-01,something,CLOSED,"TerraForm Power, Inc.",16
105,FreeCRM,system,2023-11-07,system,2024-01-18,integrate cutting-edge solutions,2024-02-23,2023-11-04,something,IN_PROGRESS,JM Global Holding Company,3
106,Evil Inc.,system,2024-01-27,system,2024-02-17,disintermediate holistic paradigms,2024-04-13,2024-01-23,something,CLOSED,"PS Business Parks, Inc.",11
107,FreeCRM,system,2023-05-26,system,2024-03-31,leverage leading-edge experiences,2024-04-26,2023-11-17,something,TODO,Hubbell Inc,11
108,Evil Inc.,system,2023-06-20,system,2024-02-09,seize world-class portals,2024-03-19,2023-07-04,something,IN_PROGRESS,Vulcan Materials Company,8
109,Evil Inc.,system,2023-11-11,system,2023-06-17,generate seamless initiatives,2024-01-18,2023-12-06,something,DONE,BlackRock California Municipal Income Trust,9
110,Evil Inc.,system,2023-08-18,system,2023-09-10,synergize best-of-breed content,2024-03-12,2023-12-25,something,IN_PROGRESS,"AMERISAFE, Inc.",3
111,FreeCRM,system,2023-05-25,system,2024-01-01,incentivize killer e-markets,2024-02-07,2024-01-05,something,CLOSED,BankFinancial Corporation,3
112,Evil Inc.,system,2024-01-31,system,2023-05-04,brand user-centric action-items,2024-04-12,2023-12-01,something,TODO,Garrison Capital Inc.,5
113,FreeCRM,system,2024-01-22,system,2024-04-26,synthesize mission-critical technologies,2024-03-23,2023-06-15,something,IN_PROGRESS,Noah Holdings Ltd.,7
114,Evil Inc.,system,2023-05-26,system,2023-12-26,monetize cross-media relationships,2024-03-14,2024-03-30,something,IN_PROGRESS,"Nelnet, Inc.",9
115,FreeCRM,system,2023-07-17,system,2023-06-24,envisioneer extensible architectures,2024-04-18,2023-05-19,something,IN_PROGRESS,Boston Omaha Corporation,5
116,Evil Inc.,system,2024-01-29,system,2024-04-04,reintermediate next-generation deliverables,2024-01-29,2023-05-16,something,IN_PROGRESS,Textainer Group Holdings Limited,6
117,FreeCRM,system,2024-02-02,system,2024-03-13,cultivate dynamic web services,2024-03-24,2023-11-12,something,IN_PROGRESS,Cerner Corporation,8
118,Evil Inc.,system,2023-08-13,system,2024-02-13,reinvent dynamic infomediaries,2024-03-29,2023-05-23,something,CLOSED,Enel Chile S.A.,6
119,FreeCRM,system,2024-03-04,system,2023-12-25,optimize compelling technologies,2024-04-24,2024-04-24,something,TODO,CNOOC Limited,1
120,FreeCRM,system,2023-08-21,system,2024-01-10,empower plug-and-play action-items,2024-04-15,2023-11-02,something,TODO,Advent/Claymore Enhanced Growth & Income Fund,11
121,FreeCRM,system,2023-08-22,system,2024-04-21,reintermediate magnetic metrics,2024-02-11,2023-06-02,something,DONE,Mistras Group Inc,4
122,Evil Inc.,system,2023-10-09,system,2023-05-22,expedite world-class paradigms,2024-02-18,2023-12-28,something,TODO,PIMCO Dynamic Credit and Mortgage Income Fund,5
123,FreeCRM,system,2023-09-27,system,2024-03-05,cultivate rich partnerships,2024-03-12,2023-05-12,something,IN_PROGRESS,Occidental Petroleum Corporation,4
124,FreeCRM,system,2023-11-10,system,2023-12-14,engineer compelling markets,2024-04-20,2023-06-28,something,CLOSED,VictoryShares Developed Enhanced Volatility Wtd ETF,8
125,FreeCRM,system,2023-09-18,system,2023-07-12,redefine B2B infrastructures,2024-01-02,2024-01-25,something,IN_PROGRESS,"Planet Fitness, Inc.",1
126,FreeCRM,system,2024-04-19,system,2024-02-16,maximize clicks-and-mortar portals,2024-01-22,2023-09-23,something,DONE,"Foundation Building Materials, Inc.",7
127,Evil Inc.,system,2024-03-26,system,2023-11-27,mesh bricks-and-clicks architectures,2024-01-08,2024-01-18,something,DONE,PowerShares DWA Developed Markets Momentum Portfolio,6
128,Evil Inc.,system,2023-11-12,system,2024-02-21,harness innovative eyeballs,2024-01-02,2024-04-08,something,CLOSED,Agnico Eagle Mines Limited,1
129,FreeCRM,system,2024-01-21,system,2024-03-19,target bricks-and-clicks platforms,2024-03-15,2023-12-07,something,TODO,"PDF Solutions, Inc.",11
130,FreeCRM,system,2023-05-09,system,2024-04-25,aggregate back-end networks,2024-02-22,2024-01-27,something,DONE,Conyers Park Acquisition Corp.,16
131,Evil Inc.,system,2024-02-09,system,2024-01-31,maximize vertical relationships,2024-02-07,2023-06-11,something,CLOSED,"T. Rowe Price Group, Inc.",11
132,Evil Inc.,system,2023-10-25,system,2024-02-04,seize 24/7 platforms,2024-03-01,2023-06-14,something,CLOSED,YY Inc.,7
133,FreeCRM,system,2023-08-06,system,2023-09-09,revolutionize ubiquitous markets,2024-03-01,2024-02-15,something,TODO,"Meta Financial Group, Inc.",6
134,FreeCRM,system,2023-05-19,system,2024-04-12,deploy cutting-edge bandwidth,2024-03-29,2023-12-25,something,TODO,Cemtrex Inc.,8
135,FreeCRM,system,2024-04-17,system,2023-10-03,strategize seamless networks,2024-02-06,2024-04-29,something,DONE,FelCor Lodging Trust Incorporated,1
136,Evil Inc.,system,2023-09-20,system,2023-09-22,empower end-to-end e-commerce,2024-01-11,2024-01-24,something,TODO,Ciner Resources LP,6
137,Evil Inc.,system,2023-09-26,system,2023-07-15,cultivate B2B web-readiness,2024-03-01,2024-02-24,something,IN_PROGRESS,"Eleven Biotherapeutics, Inc.",5
138,Evil Inc.,system,2024-01-29,system,2024-02-22,embrace collaborative communities,2024-04-17,2023-11-18,something,CLOSED,Nationstar Mortgage Holdings Inc.,16
139,Evil Inc.,system,2023-08-25,system,2024-04-15,extend clicks-and-mortar interfaces,2024-04-06,2023-10-23,something,IN_PROGRESS,"Telephone and Data Systems, Inc.",11
140,FreeCRM,system,2023-11-29,system,2023-10-25,seize impactful users,2024-04-20,2024-01-05,something,DONE,"NextEra Energy, Inc.",9
141,FreeCRM,system,2024-03-22,system,2024-02-05,envisioneer wireless technologies,2024-03-01,2023-11-11,something,CLOSED,Bill Barrett Corporation,1
142,FreeCRM,system,2023-10-10,system,2023-11-10,deliver vertical bandwidth,2024-04-22,2023-09-29,something,IN_PROGRESS,Sony Corp Ord,3
143,FreeCRM,system,2023-12-06,system,2023-07-10,engineer sexy systems,2024-02-07,2024-02-10,something,DONE,City Holding Company,1
144,FreeCRM,system,2024-03-30,system,2023-07-15,deploy sexy web services,2024-01-24,2023-08-25,something,DONE,Canadian National Railway Company,10
145,FreeCRM,system,2023-07-08,system,2023-06-18,architect out-of-the-box eyeballs,2024-04-21,2024-02-24,something,DONE,California Water  Service Group Holding,16
146,FreeCRM,system,2023-06-20,system,2023-11-03,morph proactive web services,2024-03-24,2024-02-16,something,IN_PROGRESS,TechnipFMC plc,10
147,FreeCRM,system,2023-05-16,system,2023-11-05,transform collaborative platforms,2024-04-02,2023-05-11,something,TODO,American Homes 4 Rent,11
148,Evil Inc.,system,2024-01-23,system,2023-07-18,cultivate impactful e-business,2024-01-12,2024-04-24,something,IN_PROGRESS,Service Corporation International,5
149,Evil Inc.,system,2024-03-25,system,2023-07-28,innovate synergistic applications,2024-02-27,2023-11-26,something,IN_PROGRESS,"Sonoma Pharmaceuticals, Inc.",7
150,Evil Inc.,system,2023-05-14,system,2023-09-29,reinvent enterprise paradigms,2024-03-19,2023-07-09,something,TODO,DAQO New Energy Corp.,7
151,FreeCRM,system,2024-01-30,system,2024-04-29,unleash B2C experiences,2024-04-03,2024-02-27,something,IN_PROGRESS,"ModusLink Global Solutions, Inc",1
152,Evil Inc.,system,2023-08-01,system,2023-08-14,enable impactful e-markets,2024-05-02,2024-02-18,something,DONE,First Trust MLP and Energy Income Fund,1
153,FreeCRM,system,2024-03-01,system,2023-07-28,architect leading-edge e-services,2024-03-17,2023-07-08,something,TODO,BP p.l.c.,4
154,FreeCRM,system,2023-05-16,system,2024-04-25,e-enable best-of-breed partnerships,2024-01-11,2023-12-17,something,DONE,Vanguard Global ex-U.S. Real Estate ETF,1
155,FreeCRM,system,2024-03-09,system,2023-12-17,monetize distributed architectures,2024-03-13,2023-10-08,something,DONE,OM Asset Management plc,1
156,Evil Inc.,system,2024-03-29,system,2024-04-04,envisioneer clicks-and-mortar metrics,2024-04-17,2023-07-14,something,IN_PROGRESS,ASA Gold and Precious Metals Limited,9
157,Evil Inc.,system,2024-03-21,system,2024-01-21,repurpose impactful markets,2024-04-11,2023-11-21,something,DONE,"Simpson Manufacturing Company, Inc.",16
158,Evil Inc.,system,2023-11-05,system,2023-06-04,grow user-centric users,2024-03-16,2023-10-18,something,DONE,Public Service Enterprise Group Incorporated,1
159,FreeCRM,system,2023-10-05,system,2024-03-23,evolve rich infomediaries,2024-02-08,2023-06-12,something,DONE,Robert Half International Inc.,4
160,Evil Inc.,system,2024-02-11,system,2023-10-24,deliver customized niches,2024-04-28,2023-08-10,something,DONE,Federated National Holding Company,11
161,Evil Inc.,system,2023-05-07,system,2024-01-31,scale sexy vortals,2024-03-27,2023-09-24,something,CLOSED,Salesforce.com Inc,9
162,Evil Inc.,system,2024-02-16,system,2023-07-24,implement user-centric functionalities,2024-04-15,2023-11-16,something,IN_PROGRESS,Dana Incorporated,1
163,Evil Inc.,system,2023-11-02,system,2023-12-10,evolve back-end eyeballs,2024-02-15,2023-07-26,something,CLOSED,S&W Seed Company,8
164,Evil Inc.,system,2023-11-05,system,2023-05-23,unleash world-class infrastructures,2024-01-04,2023-10-11,something,IN_PROGRESS,Avista Healthcare Public Acquisition Corp.,11
165,FreeCRM,system,2023-06-13,system,2023-11-12,enable dot-com niches,2024-03-16,2023-07-30,something,TODO,"Novus Therapeutics, Inc.",4
166,Evil Inc.,system,2023-12-31,system,2024-03-19,synthesize e-business e-commerce,2024-02-16,2023-05-18,something,CLOSED,"AMTEK, Inc.",1
167,Evil Inc.,system,2023-09-17,system,2023-11-16,orchestrate killer e-business,2024-04-30,2024-04-16,something,CLOSED,RAIT Financial Trust,9
168,FreeCRM,system,2023-09-11,system,2024-02-12,target best-of-breed interfaces,2024-02-04,2024-03-21,something,TODO,Humana Inc.,16
169,FreeCRM,system,2023-12-08,system,2023-10-01,synergize wireless ROI,2024-01-02,2023-08-22,something,CLOSED,CONSOL Energy Inc.,10
170,Evil Inc.,system,2024-01-31,system,2024-01-31,architect impactful metrics,2024-03-21,2023-08-16,something,DONE,"Thai Fund, Inc. (The)",4
171,FreeCRM,system,2024-01-03,system,2023-12-18,recontextualize holistic e-tailers,2024-01-03,2023-12-04,something,IN_PROGRESS,First Trust Dorsey Wright Dynamic Focus 5 ETF,5
172,FreeCRM,system,2024-02-21,system,2023-05-30,whiteboard bleeding-edge web-readiness,2024-01-30,2024-01-20,something,TODO,Alleghany Corporation,10
173,FreeCRM,system,2024-04-02,system,2023-08-31,facilitate sticky relationships,2024-03-11,2024-03-07,something,DONE,First Trust NASDAQ Clean Edge Green Energy Index Fund,8
174,Evil Inc.,system,2023-08-29,system,2023-10-04,incentivize dynamic portals,2024-03-11,2023-09-29,something,DONE,Symantec Corporation,1
175,FreeCRM,system,2023-11-13,system,2024-04-28,recontextualize out-of-the-box platforms,2024-04-28,2023-07-21,something,CLOSED,First Trust NASDAQ Technology Dividend Index Fund,10
176,Evil Inc.,system,2023-07-01,system,2023-07-27,evolve interactive niches,2024-04-09,2023-07-08,something,DONE,Vanda Pharmaceuticals Inc.,11
177,Evil Inc.,system,2023-08-14,system,2024-04-11,maximize wireless supply-chains,2024-01-05,2023-08-19,something,TODO,Enbridge Energy Management LLC,6
178,FreeCRM,system,2024-03-28,system,2023-08-30,revolutionize efficient mindshare,2024-01-12,2023-09-07,something,CLOSED,"Citizens Community Bancorp, Inc.",3
179,Evil Inc.,system,2023-09-11,system,2024-03-09,evolve one-to-one infomediaries,2024-03-20,2023-09-22,something,TODO,Geo Group Inc (The),6
180,FreeCRM,system,2023-07-29,system,2024-01-25,innovate dynamic partnerships,2024-03-10,2024-03-11,something,CLOSED,Heritage Financial Corporation,16
181,Evil Inc.,system,2024-01-02,system,2023-08-19,deliver next-generation infrastructures,2024-05-03,2023-12-26,something,CLOSED,Veeco Instruments Inc.,8
182,FreeCRM,system,2023-05-27,system,2023-07-11,engage innovative supply-chains,2024-03-14,2023-09-18,something,TODO,West Bancorporation,4
183,FreeCRM,system,2023-10-01,system,2023-12-07,target value-added vortals,2024-03-07,2024-02-18,something,TODO,"Maiden Holdings, Ltd.",10
184,FreeCRM,system,2023-06-19,system,2024-03-08,mesh end-to-end web-readiness,2024-04-01,2023-11-22,something,DONE,CMS Energy Corporation,7
185,Evil Inc.,system,2024-02-09,system,2023-06-12,orchestrate world-class markets,2024-05-02,2024-01-17,something,TODO,Sun Life Financial Inc.,11
186,FreeCRM,system,2023-05-16,system,2023-05-26,transform mission-critical e-services,2024-04-08,2023-12-03,something,CLOSED,"Art's-Way Manufacturing Co., Inc.",6
187,Evil Inc.,system,2023-08-14,system,2024-04-09,optimize cross-platform architectures,2024-03-14,2023-05-10,something,IN_PROGRESS,"United Bankshares, Inc.",11
188,FreeCRM,system,2023-10-12,system,2024-04-28,visualize strategic systems,2024-02-25,2023-07-30,something,CLOSED,Cimpress N.V,10
189,Evil Inc.,system,2024-04-12,system,2023-10-09,morph real-time bandwidth,2024-01-30,2023-08-18,something,DONE,Hudbay Minerals Inc.,3
190,Evil Inc.,system,2023-07-22,system,2024-04-21,incentivize out-of-the-box vortals,2024-04-14,2023-07-03,something,CLOSED,Cerecor Inc.,10
191,FreeCRM,system,2023-09-12,system,2023-08-20,optimize dot-com channels,2024-03-07,2023-08-24,something,DONE,"Perma-Pipe International Holdings, Inc.",8
192,FreeCRM,system,2024-04-16,system,2023-12-12,target viral vortals,2024-04-17,2024-04-16,something,DONE,Genesco Inc.,10
193,Evil Inc.,system,2024-03-21,system,2023-10-24,optimize magnetic solutions,2024-01-28,2023-12-21,something,TODO,"National Western Life Group, Inc.",7
194,FreeCRM,system,2023-08-28,system,2023-07-30,whiteboard frictionless systems,2024-04-13,2024-03-29,something,TODO,"Neenah Paper, Inc.",3
195,FreeCRM,system,2024-01-05,system,2024-03-16,synthesize user-centric architectures,2024-03-30,2023-06-01,something,DONE,Gabelli Utility Trust (The),4
196,Evil Inc.,system,2023-09-18,system,2023-05-14,unleash next-generation e-commerce,2024-04-29,2024-01-03,something,CLOSED,Charter Financial Corp.,9
197,Evil Inc.,system,2023-09-05,system,2023-05-23,grow bricks-and-clicks communities,2024-03-15,2023-07-07,something,IN_PROGRESS,"Four Corners Property Trust, Inc.",6
198,Evil Inc.,system,2024-03-02,system,2024-03-13,syndicate cutting-edge interfaces,2024-03-04,2023-05-21,something,DONE,Apollo Tactical Income Fund Inc.,10
199,Evil Inc.,system,2023-08-11,system,2023-06-19,iterate real-time communities,2024-04-05,2023-10-23,something,TODO,"The ONE Group Hospitality, Inc.",16
200,Evil Inc.,system,2024-03-23,system,2023-08-02,streamline collaborative technologies,2024-04-14,2023-08-23,something,TODO,"Key Technology, Inc.",16
